row,business_name,category,module_name,city,state
392,"Trez Bistro & Wine Bar","Liquor / Beverages",Liquor/Beverages,Houston,TX
393,"The Address Lounge","Liquor / Beverages",Liquor/Beverages,Houston,TX
394,"Swanky Patron","Liquor / Beverages",Liquor/Beverages,Houston,TX
395,"OKRA Charity Saloon","Liquor / Beverages",Liquor/Beverages,Houston,TX
396,"King's Daiquiri","Liquor / Beverages",Liquor/Beverages,Houston,TX
397,"Clutch Houston","Liquor / Beverages",Liquor/Beverages,Houston,TX
398,"V Live Houston","Liquor / Beverages",Liquor/Beverages,Houston,TX
399,"Anvil Bar & Refuge","Liquor / Beverages",Liquor/Beverages,Houston,TX
400,"Daiquiri's To Go","Liquor / Beverages",Liquor/Beverages,Dallas,TX
401,"Blends Daiquiri Express","Liquor / Beverages",Liquor/Beverages,Dallas,TX
402,"Red Light Lounge","Liquor / Beverages",Liquor/Beverages,Dallas,TX
403,"Lounge 31","Liquor / Beverages",Liquor/Beverages,Dallas,TX
404,"The Cigar Warehouse","Liquor / Beverages",Liquor/Beverages,Dallas,TX
405,"Casa de Montecristo","Liquor / Beverages",Liquor/Beverages,Dallas,TX
406,"Bar Vegan","Liquor / Beverages",Liquor/Beverages,Atlanta,GA
407,"Fellaship Lounge","Liquor / Beverages",Liquor/Beverages,Atlanta,GA
408,"Stanley's Cigar Lounge","Liquor / Beverages",Liquor/Beverages,Atlanta,GA
409,"Blue Flame Lounge","Liquor / Beverages",Liquor/Beverages,Atlanta,GA
410,"Vanquish Nightclub","Liquor / Beverages",Liquor/Beverages,Atlanta,GA
411,"Benny's Package Store","Liquor / Beverages",Liquor/Beverages,Atlanta,GA
412,"Cigar City Club","Liquor / Beverages",Liquor/Beverages,Atlanta,GA
413,"D'Bo's Daiquiris Wings & Seafood","Liquor / Beverages",Liquor/Beverages,Memphis,TN
414,"Wild Bill's Juke Joint","Liquor / Beverages",Liquor/Beverages,Memphis,TN
416,"The Candy Shop Daiquiri's","Liquor / Beverages",Liquor/Beverages,Memphis,TN
417,"Black Wall Street Liquid Lounge","Liquor / Beverages",Liquor/Beverages,Tulsa,OK
418,"PV's Liquor","Liquor / Beverages",Liquor/Beverages,Tulsa,OK
419,"DVL Bar","Liquor / Beverages",Liquor/Beverages,Tulsa,OK
420,"Texas Original - Houston","THC / Dispensary",THC/CBD,Houston,TX
421,"Goodblend Texas - Houston","THC / Dispensary",THC/CBD,Houston,TX
436,"Botanical Sciences - Atlanta","THC / Dispensary",THC/CBD,Atlanta,GA
441,"Cookies Melrose","THC / Dispensary",THC/CBD,"Los Angeles",CA
442,"MedMen - West Hollywood","THC / Dispensary",THC/CBD,"Los Angeles",CA
443,"Jungle Boys - LA","THC / Dispensary",THC/CBD,"Los Angeles",CA
444,"Stiiizy - DTLA","THC / Dispensary",THC/CBD,"Los Angeles",CA
445,"The Artist Tree - West Hollywood","THC / Dispensary",THC/CBD,"Los Angeles",CA
446,"Higher Path - Sherman Oaks","THC / Dispensary",THC/CBD,Inglewood,CA
447,"Planet 13 Las Vegas","THC / Dispensary",THC/CBD,"Las Vegas",NV
448,"The Dispensary NV - Henderson","THC / Dispensary",THC/CBD,"Las Vegas",NV
449,"Reef Dispensaries - Las Vegas","THC / Dispensary",THC/CBD,"Las Vegas",NV
450,"Oasis Cannabis","THC / Dispensary",THC/CBD,"Las Vegas",NV
451,"Cultivate Las Vegas","THC / Dispensary",THC/CBD,"Las Vegas",NV
452,"Trulieve - Miami","THC / Dispensary",THC/CBD,Miami,FL
453,"Curaleaf - Miami","THC / Dispensary",THC/CBD,Miami,FL
454,"MUV - Miami","THC / Dispensary",THC/CBD,Miami,FL
455,"Fluent - Miami","THC / Dispensary",THC/CBD,Miami,FL
457,"Takoma Wellness Center","THC / Dispensary",THC/CBD,Washington,DC
458,"Anacostia Organics","THC / Dispensary",THC/CBD,Washington,DC
459,"Capital City Care","THC / Dispensary",THC/CBD,Washington,DC
460,"DC Buds","THC / Dispensary",THC/CBD,Washington,DC
461,"National Holistic - DC","THC / Dispensary",THC/CBD,Washington,DC
462,"Mango Cannabis - Tulsa","THC / Dispensary",THC/CBD,Tulsa,OK
463,"Simply Plus Dispensary","THC / Dispensary",THC/CBD,Tulsa,OK
464,"Buddha's Best Dispensary","THC / Dispensary",THC/CBD,Tulsa,OK
465,"The Green Gorilla","THC / Dispensary",THC/CBD,Tulsa,OK
466,"Kush House Dispensary","THC / Dispensary",THC/CBD,Tulsa,OK
469,"Housing Works Cannabis Co.","THC / Dispensary",THC/CBD,"New York",NY
470,"Union Square Travel Agency","THC / Dispensary",THC/CBD,"New York",NY
471,"Gotham Cannabis Dispensary","THC / Dispensary",THC/CBD,"New York",NY
472,"Smacked NYC","THC / Dispensary",THC/CBD,"New York",NY
473,"The Cannabis Place","THC / Dispensary",THC/CBD,"New York",NY
474,"Boss Lady Couture","Retail / Shopping",Retail/Shopping,Houston,TX
476,"Black Book Houston","Local Events / Creators","Local Events/Creators",Houston,TX
