migration,action,evidence
2025_09_21_171906_add_section_wise_ai_use_count_to_store_configs,RECORDED-NOT-EXECUTED,"RESOLVED: Ternary table name. store_configs.section_wise_ai_use_count and .image_wise_ai_use_count verified present."
2025_09_21_174228_add_sender_note_to_withdraw_requests,RECORDED-NOT-EXECUTED,"every intended effect verified present: withdraw_requests.sender_note"
2025_09_25_181108_rename_bank_name_to_rejection_note_in_vendors_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: vendors.rejection_note"
2025_10_23_160409_create_f_a_q_s_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table f_a_q_s"
2025_11_09_014948_create_page_seo_data_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table page_seo_data"
2025_11_27_132943_update_identity_image_column_in_delivery_men_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: delivery_men.identity_image, delivery_men.loyalty_point, delivery_men.ref_code, delivery_men.ref_by"
2025_11_27_141050_create_deliveryman_loyalty_point_histories_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table deliveryman_loyalty_point_histories"
2025_11_30_093640_create_deliveryman_referral_histories_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table deliveryman_referral_histories"
2026_01_08_121542_add_meta_data_column_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.meta_data"
2026_01_08_150355_create_item_seo_data_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table item_seo_data"
2026_01_12_101427_add_is_default_col_to_zones_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: zones.is_default"
2026_01_21_103359_add_slug_to_modules_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: modules.slug"
2026_01_21_112637_add_slug_column_to_campaigns_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: campaigns.slug"
2026_01_27_141523_create_parcel_return_fees_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table parcel_return_fees"
2026_01_27_141620_create_parcel_penalty_fees_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table parcel_penalty_fees"
2026_02_04_152345_add_ride_related_columns_in_d_m_vehicles_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: d_m_vehicles.name, d_m_vehicles.description, d_m_vehicles.image, d_m_vehicles.is_delivery, d_m_vehicles.is_ride, d_m_vehicles.starting_coverage_area …(+2)"
2026_02_04_164604_add_question_column_in_automated_messages_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: automated_messages.question_for, automated_messages.question"
2026_02_04_165904_add_user_note_col_to_withdraw_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: withdraw_requests.user_note"
2026_02_08_113515_add_rider_wise_topic_to_zones_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: zones.rider_wise_topic"
2026_03_09_151700_add_extra_discount_amount_col_to_orders_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.extra_discount_amount"
2026_03_25_171011_add_timestamps_to_campaign_store_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: campaign_store.created_at, campaign_store.updated_at"
2026_04_06_000001_add_verified_seller_to_store_configs_table,RECORDED-NOT-EXECUTED,"RESOLVED: Ternary table name. store_configs.verified_seller and .has_seen_verified_badge_popup verified present."
2026_04_07_000001_create_user_files_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table user_files"
2026_04_13_000001_add_product_video_columns_to_items_and_temp_products_tables,RECORDED-NOT-EXECUTED,"every intended effect verified present: items.video, items.video_link, temp_products.video, temp_products.video_link"
2026_04_13_120000_add_show_low_stock_count_to_store_configs_table,RECORDED-NOT-EXECUTED,"RESOLVED: Ternary table name. store_configs.show_low_stock_count verified present."
2026_04_16_140158_add_ride_id_col_to_expenses_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: expenses.ride_id"
2026_06_04_162817_add_join_as_col_to_delivery_men_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: delivery_men.is_delivery, delivery_men.is_ride, delivery_men.earning"
2026_07_02_000001_create_urban_goodz_measurement_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_measurement_requests"
2026_07_03_000001_create_order_anywhere_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table order_anywhere_requests"
2026_07_03_000002_create_urban_goodz_payment_ledgers_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_payment_ledgers"
2026_07_03_000003_create_urban_goodz_payment_splits_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_payment_splits"
2026_07_03_000004_add_payment_fields_to_order_anywhere_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_anywhere_requests.quote_amount, order_anywhere_requests.authorized_amount, order_anywhere_requests.final_amount, order_anywhere_requests.captured_amount, order_anywhere_requests.refunded_amount, order_anywhere_requests.payment_status …(+8)"
2026_07_05_000001_create_urban_goodz_ingestion_tables,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_import_batches, table urban_goodz_sourced_businesses, table urban_goodz_sourced_products, table urban_goodz_sourced_images, table urban_goodz_demand_signals"
2026_07_05_214527_add_public_listing_fields_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.business_status, stores.contract_status, stores.vendor_admin_status, stores.banking_status, stores.subscription_status, stores.admin_approval_status …(+20)"
2026_07_06_100000_add_missing_fields_to_order_anywhere_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_anywhere_requests.business_id, order_anywhere_requests.product_id, order_anywhere_requests.cart_items, order_anywhere_requests.source_urls, order_anywhere_requests.selected_options, order_anywhere_requests.customer_visible_status …(+1)"
2026_07_06_110000_add_driver_assignment_fields_to_order_anywhere_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_anywhere_requests.delivery_man_id, order_anywhere_requests.driver_status, order_anywhere_requests.assigned_at, order_anywhere_requests.driver_accepted_at, order_anywhere_requests.arrived_at_pickup_at, order_anywhere_requests.picked_up_at …(+3)"
2026_07_06_120000_create_urban_goodz_files_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_files"
2026_07_06_130000_add_photo_file_ids_to_measurement_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_measurement_requests.front_photo_file_id, urban_goodz_measurement_requests.side_photo_file_id, urban_goodz_measurement_requests.back_photo_file_id"
2026_07_06_140000_create_urban_goodz_business_types_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_business_types"
2026_07_06_140001_create_urban_goodz_capabilities_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_capabilities"
2026_07_06_140002_create_urban_goodz_business_type_default_capabilities_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_business_type_default_capabilities"
2026_07_06_140003_create_urban_goodz_business_capabilities_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_business_capabilities"
2026_07_06_140004_add_business_type_slug_to_stores_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: stores.business_type_slug"
2026_07_06_140005_add_itemized_pricing_to_order_anywhere_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_anywhere_requests.item_subtotal, order_anywhere_requests.service_fee, order_anywhere_requests.delivery_fee, order_anywhere_requests.tax, order_anywhere_requests.tip"
2026_07_06_140006_create_urban_goodz_ai_intents_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_ai_intents"
2026_07_06_140007_create_urban_goodz_ai_conversations_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_ai_conversations"
2026_07_06_180000_create_urban_goodz_backend_modules_tables,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_service_requests, table urban_goodz_service_providers, table urban_goodz_appointments, table urban_goodz_community_posts, table urban_goodz_community_comments, table urban_goodz_community_marketplace_items …(+11)"
2026_07_06_190000_create_urban_goodz_rental_tables,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_rental_assets, table urban_goodz_rental_bookings, table urban_goodz_rental_inspections"
2026_07_07_100000_create_urban_goodz_creator_space_tables,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_creator_profiles, table urban_goodz_creator_campaigns, table urban_goodz_creator_campaign_assignments, table urban_goodz_creator_content, table urban_goodz_creator_earnings, table urban_goodz_creator_business_leads …(+6)"
2026_07_08_000001_create_urban_goodz_business_client_tables,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_business_clients, table urban_goodz_business_client_users, table urban_goodz_business_client_locations, table urban_goodz_business_client_documents, table urban_goodz_business_client_jobs"
2026_07_08_000002_create_urban_goodz_route_package_tables,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_dedicated_routes, table urban_goodz_route_batches, table urban_goodz_route_packages, table urban_goodz_package_scans, table urban_goodz_route_assignments, table urban_goodz_route_optimization_stops …(+4)"
2026_07_08_100000_add_route_package_foundation_fields,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_dedicated_routes.returned_packages, urban_goodz_dedicated_routes.payout_model, urban_goodz_dedicated_routes.route_offer_amount, urban_goodz_dedicated_routes.estimated_miles, urban_goodz_dedicated_routes.estimated_duration, urban_goodz_route_packages.dropoff_city …(+13)"
2026_07_08_110000_make_dedicated_route_id_nullable,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_route_packages.dedicated_route_id, urban_goodz_route_packages.manifest_session_id, urban_goodz_route_packages.scanned_by, urban_goodz_route_packages.scanned_at"
2026_07_08_120000_add_end_location_to_dedicated_routes,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_dedicated_routes.end_location, urban_goodz_dedicated_routes.end_lat, urban_goodz_dedicated_routes.end_lng"
2026_07_08_130000_fix_dedicated_route_id_nullable,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_route_packages.dedicated_route_id, urban_goodz_route_packages.manifest_session_id, urban_goodz_route_packages.scanned_by, urban_goodz_route_packages.scanned_at"
2026_07_08_140000_create_urban_goodz_manifests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_manifests, urban_goodz_route_packages.manifest_id"
2026_07_09_000000_create_urban_goodz_activity_logs_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_activity_logs"
2026_07_09_000001_add_business_client_management_fields,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_business_clients.contact_name, urban_goodz_business_clients.contact_email, urban_goodz_business_clients.contact_phone, urban_goodz_business_clients.billing_email, urban_goodz_business_clients.billing_phone, urban_goodz_business_clients.billing_terms …(+7)"
2026_07_09_000001_add_payment_link_fields_to_order_anywhere_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_anywhere_requests.psp_reference, order_anywhere_requests.merchant_reference, order_anywhere_requests.payment_link_id, order_anywhere_requests.payment_url"
2026_07_09_000002_add_manifest_metrics_fields,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_manifests.service_type, urban_goodz_manifests.scanned_packages, urban_goodz_manifests.valid_packages, urban_goodz_manifests.invalid_packages, urban_goodz_manifests.generated_routes_count"
2026_07_09_000002_create_urban_goodz_payment_transactions_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_payment_transactions"
2026_07_09_000003_add_provider_neutral_columns_to_order_anywhere_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_anywhere_requests.payment_provider, order_anywhere_requests.provider_reference, order_anywhere_requests.provider_payment_id, order_anywhere_requests.provider_payment_link_id, order_anywhere_requests.provider_payment_url"
2026_07_09_000004_create_urban_goodz_order_anywhere_card_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_order_anywhere_card_requests"
2026_07_09_000005_add_connect_fields_to_order_anywhere_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: order_anywhere_requests.payment_provider, order_anywhere_requests.provider_reference, order_anywhere_requests.provider_payment_id, order_anywhere_requests.connect_account_id, order_anywhere_requests.payout_status, order_anywhere_requests.transfer_status …(+5)"
2026_07_09_000300_add_age_restricted_compliance_fields,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_route_packages.age_restricted, urban_goodz_route_packages.requires_id_verification, urban_goodz_route_packages.no_contactless_delivery, urban_goodz_route_packages.delivery_completion_locked_until_verified, urban_goodz_route_packages.admin_review_required_on_failure, urban_goodz_route_packages.age_verification_status …(+9)"
2026_07_09_000400_create_urban_goodz_age_verifications_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_age_verifications"
2026_07_09_000500_add_customer_age_confirmation_to_orders,RECORDED-NOT-EXECUTED,"every intended effect verified present: orders.customer_age_confirmed_at"
2026_07_09_000600_create_ai_copilot_recommendations_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table ai_copilot_recommendations"
2026_07_09_000700_create_ai_copilot_settings_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table ai_copilot_settings"
2026_07_09_000800_create_ai_action_logs_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table ai_action_logs"
2026_07_09_000900_create_ai_risk_rules_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table ai_risk_rules"
2026_07_09_001000_create_ai_module_automation_settings_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table ai_module_automation_settings"
2026_07_09_001100_add_driver_fields_to_business_client_jobs_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_business_client_jobs.driver_notes, urban_goodz_business_client_jobs.exception_reason, urban_goodz_business_client_jobs.exception_reported_at, urban_goodz_business_client_jobs.driver_accepted_at"
2026_07_09_001200_add_capability_fields_to_delivery_men_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: delivery_men.vehicle_type, delivery_men.cargo_capacity_notes, delivery_men.max_package_count, delivery_men.max_weight_lbs, delivery_men.has_cargo_space, delivery_men.has_cooler_bag …(+10)"
2026_07_09_020000_fix_route_packages_missing_portal_columns,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_route_packages.manifest_id, urban_goodz_route_packages.dropoff_city, urban_goodz_route_packages.dropoff_state, urban_goodz_route_packages.dropoff_zip, urban_goodz_route_packages.stop_order, urban_goodz_route_packages.delivery_result …(+7)"
2026_07_09_213618_add_business_client_job_id_to_urban_goodz_driver_earnings_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_driver_earnings.business_client_job_id"
2026_07_10_000001_add_trailer_cdl_commercial_fields_to_delivery_men_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: delivery_men.has_trailer, delivery_men.trailer_type, delivery_men.trailer_length_feet, delivery_men.trailer_width_feet, delivery_men.trailer_capacity_lbs, delivery_men.hitch_type …(+20)"
2026_07_10_000003_add_brute_force_cols_to_email_verifications_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: email_verifications.otp_hit_count, email_verifications.is_temp_blocked, email_verifications.temp_block_time"
2026_07_10_000004_add_two_factor_auth_to_admins_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: admins.two_factor_secret, admins.two_factor_recovery_codes, admins.two_factor_enabled, admins.two_factor_confirmed_at"
2026_07_11_000001_add_vehicle_identity_fields_to_delivery_men_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: delivery_men.vehicle_make, delivery_men.vehicle_model, delivery_men.vehicle_year, delivery_men.vehicle_color, delivery_men.vehicle_vin, delivery_men.license_plate …(+9)"
2026_07_11_100000_create_urban_goodz_load_board_loads_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_load_board_loads"
2026_07_12_000000_enhance_urban_goodz_medical_courier_jobs_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_medical_courier_jobs.pickup_facility_name, urban_goodz_medical_courier_jobs.pickup_contact_name, urban_goodz_medical_courier_jobs.pickup_contact_phone, urban_goodz_medical_courier_jobs.pickup_lat, urban_goodz_medical_courier_jobs.pickup_lng, urban_goodz_medical_courier_jobs.delivery_facility_name …(+20)"
2026_07_12_000001_add_neck_and_due_date_to_measurement_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: urban_goodz_measurement_requests.neck, urban_goodz_measurement_requests.due_date"
2026_07_12_000002_create_urban_goodz_book_anywhere_requests_table,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_book_anywhere_requests"
2026_07_12_100000_add_dispatch_company_support,RECORDED-NOT-EXECUTED,"every intended effect verified present: table urban_goodz_dispatch_commissions, urban_goodz_business_clients.account_type, urban_goodz_business_clients.territory_states, urban_goodz_business_clients.territory_corridors, urban_goodz_business_clients.dispatch_default_commission_rate, urban_goodz_load_board_loads.dispatch_company_id …(+4)"
2026_07_10_000002_fix_mail_config_smtp_host,LEFT-PENDING-WILL-EXECUTE,"RESOLVED: Data-only; effect is not schema-observable so it cannot be verified as represented. Returns early when the business_settings mail_config row is absent. Idempotent."
2026_07_12_000003_encrypt_mail_config_password,LEFT-PENDING-WILL-EXECUTE,"RESOLVED: Data-only; not schema-observable. Returns early when mail_config is absent, and re-checks isEncrypted() before acting. Idempotent."
2026_07_12_100000_create_fashion_fit_ai_workflow_tables,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table fashion_fit_profiles, table fashion_fit_consents, table fashion_fit_provider_profiles, table fashion_fit_photos, table fashion_fit_analyses, table fashion_fit_measurements …(+4)"
2026_07_12_120000_complete_creator_reel_commerce,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table creator_reel_tags, table creator_commerce_attributions, table creator_reel_reports, urban_goodz_creator_profiles.vendor_id, urban_goodz_creator_profiles.status, reels.creator_profile_id …(+4)"
2026_07_12_130000_complete_service_booking_workflow,LEFT-PENDING-WILL-EXECUTE,"RESOLVED: Guarded/idempotent, so no parsable literal Schema:: target. Live check shows urban_goodz_service_booking_events, _service_provider_earnings and _service_reviews are ABSENT and urban_goodz_service_requests has only 13 columns. Genuinely applicable."
2026_07_12_150000_add_soft_deletes_to_urban_goodz_medical_courier_jobs,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: urban_goodz_medical_courier_jobs.deleted_at"
2026_07_12_200000_add_financial_workflow_to_load_board_loads,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_load_board_audit_logs, urban_goodz_load_board_loads.customer_price, urban_goodz_load_board_loads.platform_margin, urban_goodz_load_board_loads.dispatcher_incentive, urban_goodz_load_board_loads.source_cost, urban_goodz_load_board_loads.processing_fee …(+6)"
2026_07_13_000001_add_logistics_e2e_columns_and_tables,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_load_board_bids, table urban_goodz_dispatch_audit_logs, urban_goodz_driver_earnings.load_id"
2026_07_13_000001_create_delivery_man_vehicles_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table delivery_man_vehicles"
2026_07_13_000002_create_driver_certifications_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table driver_certifications"
2026_07_13_000003_create_vendor_notifications_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table vendor_notifications"
2026_07_13_000004_add_delivery_man_id_and_applied_at_to_earn_money_applications_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: urban_goodz_earn_money_applications.delivery_man_id, urban_goodz_earn_money_applications.applied_at"
2026_07_13_100000_create_load_sourcing_system_tables,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table load_sources, table external_loads, table load_source_credentials, table load_source_searches, table load_source_search_results, table load_source_sync_runs …(+15)"
2026_07_16_140000_seed_urban_goodz_ai_intents,LEFT-PENDING-WILL-EXECUTE,"RESOLVED: Data seed via updateOrInsert (idempotent). Seeds AI intent configuration that staging needs. Not schema-observable."
2026_07_16_140001_seed_urban_goodz_test_records,LEFT-PENDING-WILL-EXECUTE,"RESOLVED: Data seed via updateOrInsert (idempotent). Seeds logistics/medical/creator sample rows appropriate for an isolated staging environment. Not schema-observable."
2026_07_16_150000_add_rbac_and_audit_to_business_portal,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_business_portal_audit_logs, urban_goodz_business_client_users.portal_role, urban_goodz_business_client_users.portal_permissions"
2026_07_16_150001_create_urban_goodz_impersonation_sessions_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_impersonation_sessions"
2026_07_16_160000_add_fulfillment_and_card_issuing_fields_to_order_anywhere_requests_table,LEFT-PENDING-WILL-EXECUTE,"RESOLVED: Classifier saw payment_captured_at as present, but that column is only ->change()d, not added. Every genuine ADD (fulfillment_type, sourcing_status, shopper_id, shopper_status, card_issued, …) is absent. All 7 external after() anchors verified present (status, vendor_id, payment_refunded_at, receipt_path, capture_reference, refund_reference, driver_payout_amount). Unguarded but safe to run."
2026_07_17_100000_create_urban_goodz_driver_pricing_policies_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_driver_pricing_policies, urban_goodz_driver_earnings.order_id"
2026_07_19_000001_create_urban_goodz_notifications_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_notifications"
2026_07_19_061756_create_urban_goodz_intake_batches_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_intake_batches"
2026_07_19_061757_create_urban_goodz_batch_participants_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_batch_participants"
2026_07_19_061758_create_urban_goodz_batch_packages_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_batch_packages"
2026_07_19_061759_create_urban_goodz_batch_package_audits_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_batch_package_audits"
2026_07_19_061800_create_urban_goodz_intake_batch_audits_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_intake_batch_audits"
2026_07_19_110153_create_urban_goodz_route_clustering_audits_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_route_clustering_audits"
2026_07_19_120000_add_intake_batch_id_and_route_label_to_dedicated_routes,LEFT-PENDING-WILL-EXECUTE,"RESOLVED: Fully guarded by hasColumn(). business_client_id present (will be skipped); intake_batch_id and route_label absent. FK target urban_goodz_intake_batches is created by 2026_07_19_061756, which sorts earlier. Idempotent."
2026_07_19_150000_add_private_endpoint_to_delivery_men,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: delivery_men.private_endpoint_address, delivery_men.private_endpoint_lat, delivery_men.private_endpoint_lng, delivery_men.private_endpoint_status"
2026_07_19_150100_create_urban_goodz_route_execution_versions_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table urban_goodz_route_execution_versions"
2026_07_19_160000_create_ai_agents_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table ai_agents"
2026_07_19_160100_create_ai_tasks_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table ai_tasks"
2026_07_19_160200_create_ai_workforce_actions_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table ai_workforce_actions"
2026_07_19_160300_create_ai_approvals_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table ai_approvals"
2026_07_19_160400_create_merchant_prospects_table,LEFT-PENDING-WILL-EXECUTE,"RESOLVED: Both merchant_prospects and merchant_prospect_order_anywhere are ABSENT. The unconditional dropIfExists in up() is defensive cleanup, not forward intent."
2026_07_19_160500_create_ai_outreach_tables,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table ai_outreach_templates, table ai_outreach_messages"
2026_07_19_160600_create_ai_audit_events_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table ai_audit_events"
2026_07_19_160700_create_human_action_items_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table human_action_items"
2026_07_19_160800_create_business_needs_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table business_needs"
2026_07_19_160900_create_ai_companion_contexts_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table ai_companion_contexts"
2026_07_21_000001_create_ai_dispatches_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: table ai_dispatches"
2026_07_21_000002_add_order_id_to_order_anywhere_requests_table,LEFT-PENDING-WILL-EXECUTE,"no intended effect present: order_anywhere_requests.order_id"
