SURFACE,ROLE,SCREEN NAME,ROUTE OR MOBILE NAVIGATION PATH,SOURCE FILE,SOURCE LINE,CONTROLLER OR VIEWMODEL,PERMISSION,VISIBLE TITLE,CONTROL TYPE,CONTROL NAME,TABS,CARDS,TABLES,TABLE COLUMNS,BUTTONS,DROPDOWNS,FILTERS,SEARCH FIELDS,TEXT FIELDS,DATE PICKERS,CHECKBOXES,RADIO BUTTONS,TOGGLES,UPLOAD CONTROLS,CAMERA CONTROLS,SCANNER CONTROLS,MAP CONTROLS,PAGINATION,MODALS,MENUS,ACTION MENUS,STATUS BADGES,EMPTY STATES,ERROR STATES,VALIDATION,EXPECTED ACTION,CURRENT ACTION,API ENDPOINT,DATABASE EFFECT,NEXT ROLE VISIBILITY,NOTIFICATION,TEST COVERAGE,CURRENT STATUS,DEFECT,SEVERITY,FIX STATUS
ADMIN PORTAL,admin,admin-views/business-settings/about-us.blade.php,not statically resolved,resources/views/admin-views/business-settings/about-us.blade.php,58,requires route-level trace,not proven in view,,textarea,about_us[],,,,,,,,,about_us[],,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/about-us.blade.php,not statically resolved,resources/views/admin-views/business-settings/about-us.blade.php,60,requires route-level trace,not proven in view,,input:hidden,lang[],,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/about-us.blade.php,not statically resolved,resources/views/admin-views/business-settings/about-us.blade.php,90,requires route-level trace,not proven in view,,input:text,about_title[],,,,,,,,,about_title[],,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/about-us.blade.php,not statically resolved,resources/views/admin-views/business-settings/about-us.blade.php,96,requires route-level trace,not proven in view,,textarea,about_us[],,,,,,,,,about_us[],,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/about-us.blade.php,not statically resolved,resources/views/admin-views/business-settings/about-us.blade.php,98,requires route-level trace,not proven in view,,input:hidden,lang[],,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/about-us.blade.php,not statically resolved,resources/views/admin-views/business-settings/about-us.blade.php,105,requires route-level trace,not proven in view,,button,button@105,,,,,button@105,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/_facebook-meta-pixel-modal.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/_facebook-meta-pixel-modal.blade.php,5,requires route-level trace,not proven in view,{{…}},button,Close,,,,,Close,,,,,,,,,,,,,,Close,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/_google-analytics-modal.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/_google-analytics-modal.blade.php,6,requires route-level trace,not proven in view,{{…}},button,Close,,,,,Close,,,,,,,,,,,,,,Close,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/_google-tag-manager-modal.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/_google-tag-manager-modal.blade.php,6,requires route-level trace,not proven in view,{{…}},button,Close,,,,,Close,,,,,,,,,,,,,,Close,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/_information-modal.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/_information-modal.blade.php,5,requires route-level trace,not proven in view,{{…}},button,Close,,,,,Close,,,,,,,,,,,,,,Close,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/_linkedin-insight-modal.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/_linkedin-insight-modal.blade.php,6,requires route-level trace,not proven in view,{{…}},button,Close,,,,,Close,,,,,,,,,,,,,,Close,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/_pinterest-tag-modal.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/_pinterest-tag-modal.blade.php,6,requires route-level trace,not proven in view,{{…}},button,Close,,,,,Close,,,,,,,,,,,,,,Close,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/_snapchat-tag-modal.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/_snapchat-tag-modal.blade.php,5,requires route-level trace,not proven in view,{{…}},button,Close,,,,,Close,,,,,,,,,,,,,,Close,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/_tiktok-tag-modal.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/_tiktok-tag-modal.blade.php,5,requires route-level trace,not proven in view,{{…}},button,Close,,,,,Close,,,,,,,,,,,,,,Close,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/_twitter-modal.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/_twitter-modal.blade.php,5,requires route-level trace,not proven in view,{{…}},button,Close,,,,,Close,,,,,,,,,,,,,,Close,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/index.blade.php,route:admin.business-settings.marketing.analyticUpdate,resources/views/admin-views/business-settings/analytics/index.blade.php,73,requires route-level trace,not proven in view,{{…}},form,form@73,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.marketing.analyticUpdate,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/index.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/index.blade.php,81,requires route-level trace,not proven in view,{{…}},link,link@81,,,,,,,,,,,,,link@81,,,,,,link@81,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/index.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/index.blade.php,94,requires route-level trace,not proven in view,{{…}},input:checkbox,{{…}}-status,,,,,,,,,,,{{…}}-status,,{{…}}-status,,,,,,,,,{{…}}-status,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/index.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/index.blade.php,117,requires route-level trace,not proven in view,{{…}},input:hidden,type,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/index.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/index.blade.php,119,requires route-level trace,not proven in view,{{…}},textarea,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/index.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/index.blade.php,120,requires route-level trace,not proven in view,{{…}},button,button@120,,,,,button@120,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/index.blade.php,route:admin.business-settings.marketing.analyticStatus,resources/views/admin-views/business-settings/analytics/index.blade.php,131,requires route-level trace,not proven in view,{{…}},form,{{…}}-status_form,,,,,,,,,,,,,,,,,,,,,,{{…}}-status_form,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.marketing.analyticStatus,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/analytics/index.blade.php,not statically resolved,resources/views/admin-views/business-settings/analytics/index.blade.php,133,requires route-level trace,not proven in view,{{…}},input:hidden,type,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,route:admin.business-settings.app-settings-update,resources/views/admin-views/business-settings/app-settings.blade.php,81,requires route-level trace,not proven in view,,form,form@81,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.app-settings-update,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,83,requires route-level trace,not proven in view,,input:hidden,type,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,102,requires route-level trace,not proven in view,,input:checkbox,CheckboxStatus,,,,,,,,,,,CheckboxStatus,,CheckboxStatus,,,,,,,,,CheckboxStatus,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,130,requires route-level trace,not proven in view,,link,default-link,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,136,requires route-level trace,not proven in view,,link,{{…}}-link,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,158,requires route-level trace,not proven in view,,input:text,download_user_app_title[],,,,,,,,,download_user_app_title[],,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,173,requires route-level trace,not proven in view,,input:hidden,lang[],,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,200,requires route-level trace,not proven in view,,input:text,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,215,requires route-level trace,not proven in view,,input:hidden,lang[],,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,226,requires route-level trace,not proven in view,,button,button@226,,,,,button@226,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,227,requires route-level trace,not proven in view,,button,button@227,,,,,button@227,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,route:admin.business-settings.app-settings-update,resources/views/admin-views/business-settings/app-settings.blade.php,233,requires route-level trace,not proven in view,,form,form@233,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.app-settings-update,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,236,requires route-level trace,not proven in view,,input:hidden,type,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,265,requires route-level trace,not proven in view,,input:number,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,277,requires route-level trace,not proven in view,,input:url,{{…}},,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,296,requires route-level trace,not proven in view,,input:number,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,308,requires route-level trace,not proven in view,,input:url,{{…}},,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,321,requires route-level trace,not proven in view,,button,button@321,,,,,button@321,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,322,requires route-level trace,not proven in view,,button,button@322,,,,,button@322,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,route:admin.business-settings.app-settings-update,resources/views/admin-views/business-settings/app-settings.blade.php,329,requires route-level trace,not proven in view,,form,form@329,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.app-settings-update,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,332,requires route-level trace,not proven in view,,input:hidden,type,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,360,requires route-level trace,not proven in view,,input:number,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,372,requires route-level trace,not proven in view,,input:url,{{…}},,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,391,requires route-level trace,not proven in view,,input:number,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,403,requires route-level trace,not proven in view,,input:url,{{…}},,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,410,requires route-level trace,not proven in view,,button,button@410,,,,,button@410,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,411,requires route-level trace,not proven in view,,button,button@411,,,,,button@411,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,route:admin.business-settings.app-settings-update,resources/views/admin-views/business-settings/app-settings.blade.php,418,requires route-level trace,not proven in view,,form,form@418,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.app-settings-update,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,421,requires route-level trace,not proven in view,,input:hidden,type,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,449,requires route-level trace,not proven in view,,input:number,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,461,requires route-level trace,not proven in view,,input:url,{{…}},,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,480,requires route-level trace,not proven in view,,input:number,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,492,requires route-level trace,not proven in view,,input:url,{{…}},,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,499,requires route-level trace,not proven in view,,button,button@499,,,,,button@499,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,500,requires route-level trace,not proven in view,,button,button@500,,,,,button@500,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,route:admin.business-settings.app-settings-update,resources/views/admin-views/business-settings/app-settings.blade.php,507,requires route-level trace,not proven in view,,form,form@507,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.app-settings-update,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,510,requires route-level trace,not proven in view,,input:hidden,type,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,source token found; behavioral strength unproven,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,538,requires route-level trace,not proven in view,,input:number,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,550,requires route-level trace,not proven in view,,input:url,{{…}},,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,569,requires route-level trace,not proven in view,,input:number,{{…}},,,,,,,,,{{…}},,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,581,requires route-level trace,not proven in view,,input:url,{{…}},,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,588,requires route-level trace,not proven in view,,button,button@588,,,,,button@588,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/app-settings.blade.php,not statically resolved,resources/views/admin-views/business-settings/app-settings.blade.php,589,requires route-level trace,not proven in view,,button,button@589,,,,,button@589,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/cancelation_policy.blade.php,not statically resolved,resources/views/admin-views/business-settings/cancelation_policy.blade.php,23,requires route-level trace,not proven in view,{{…}},input:checkbox,data_status,,,,,,,,,,,data_status,,data_status,,,,,,,,,data_status,,,not declared on control,capture/filter/validate input,handler/action not proven from tag,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,,,AUDIT ONLY
ADMIN PORTAL,admin,admin-views/business-settings/cancelation_policy.blade.php,route:admin.business-settings.cancelation,resources/views/admin-views/business-settings/cancelation_policy.blade.php,34,requires route-level trace,not proven in view,{{…}},form,tnc-form,,,,,,,,,,,,,,,,,,,,,,,,,not declared on control,perform named navigation/mutation and expose final state,source references route:admin.business-settings.cancelation,,not proven by view source,not proven,not proven,none located by token,UNKNOWN,route reference not resolved by static token search,P1/P2 requires route trace,AUDIT ONLY
